id,channel,value,datetime
7069413,2,294.233,2024-01-11 02:05:07.000000
7069414,5,294.276,2024-01-11 02:05:07.000000
7069415,6,0,2024-01-11 02:05:07.000000
7069416,1,293.568,2024-01-11 02:06:07.000000
7069417,1,293.568,2024-01-11 02:07:08.000000
7069418,1,293.569,2024-01-11 02:08:08.000000
7069419,2,294.24,2024-01-11 02:06:07.000000
7069420,2,294.246,2024-01-11 02:07:08.000000
7069421,2,294.244,2024-01-11 02:08:08.000000
7069422,5,294.259,2024-01-11 02:06:07.000000
7069423,5,294.278,2024-01-11 02:07:08.000000
7069424,5,294.237,2024-01-11 02:08:08.000000
7069425,6,0,2024-01-11 02:06:07.000000
7069426,6,0,2024-01-11 02:07:08.000000
7069427,6,0,2024-01-11 02:08:08.000000
7069428,1,293.568,2024-01-11 02:09:08.000000
7069429,2,294.241,2024-01-11 02:09:08.000000
7069430,5,294.255,2024-01-11 02:09:08.000000
7069431,6,0,2024-01-11 02:09:08.000000
7069432,1,293.568,2024-01-11 02:10:08.000000
7069433,1,293.567,2024-01-11 02:11:08.000000
7069434,1,293.567,2024-01-11 02:12:09.000000
7069435,2,294.246,2024-01-11 02:10:08.000000
7069436,2,294.24,2024-01-11 02:11:08.000000
7069437,2,294.227,2024-01-11 02:12:09.000000
7069438,5,294.284,2024-01-11 02:10:08.000000
7069439,5,294.292,2024-01-11 02:11:08.000000
7069440,5,294.289,2024-01-11 02:12:09.000000
7069441,6,0,2024-01-11 02:10:08.000000
7069442,6,0,2024-01-11 02:11:08.000000
7069443,6,0,2024-01-11 02:12:09.000000
7069444,1,293.566,2024-01-11 02:13:09.000000
7069445,2,294.248,2024-01-11 02:13:09.000000
7069446,5,294.306,2024-01-11 02:13:09.000000
7069447,6,0,2024-01-11 02:13:09.000000
7069448,1,293.565,2024-01-11 02:14:09.000000
7069449,1,293.564,2024-01-11 02:15:09.000000
7069450,1,293.563,2024-01-11 02:16:09.000000
7069451,2,294.24,2024-01-11 02:14:09.000000
7069452,2,294.245,2024-01-11 02:15:09.000000
7069453,2,294.24,2024-01-11 02:16:09.000000
7069454,5,294.238,2024-01-11 02:14:09.000000
7069455,5,294.287,2024-01-11 02:15:09.000000
7069456,5,294.268,2024-01-11 02:16:09.000000
7069457,6,0,2024-01-11 02:14:09.000000
7069458,6,0,2024-01-11 02:15:09.000000
7069459,6,0,2024-01-11 02:16:09.000000
7069460,1,293.563,2024-01-11 02:17:10.000000
7069461,2,294.246,2024-01-11 02:17:10.000000
